DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.001,25,0.5,1.0,5,0.6641,0.6753,0.6641,0.6469,478.51,0.53,a
True,0.001,25,0.5,1.5,5,0.6853,0.7057,0.6853,0.6648,479.33,0.29,a
True,0.001,25,1.0,0.5,5,0.7692,0.7704,0.7692,0.7561,479.47,5.06,a
True,0.001,25,1.0,1.0,5,0.8054,0.8101,0.8054,0.7998,479.96,0.53,a
True,0.001,25,1.0,1.5,5,0.7515,0.7593,0.7515,0.7380,479.13,0.29,a
True,0.001,25,1.5,0.5,5,0.8376,0.8386,0.8376,0.8359,478.24,5.06,a
True,0.001,25,1.5,1.0,5,0.8243,0.8235,0.8243,0.8222,479.22,0.53,a
True,0.001,25,1.5,1.5,5,0.7929,0.7940,0.7929,0.7876,478.82,0.29,a
False,0.001,50,N/A,N/A,N/A,0.9721,0.9722,0.9721,0.9721,92.88,Sem privacidade diferencial,a
True,0.001,50,0.5,0.5,5,0.5941,0.6446,0.5941,0.5604,241.70,6.95,a
True,0.001,50,0.5,0.5,10,0.5552,0.5887,0.5552,0.5290,242.04,6.95,a
True,0.001,50,0.5,1.0,5,0.5608,0.6285,0.5608,0.5142,241.70,0.78,a
True,0.001,50,0.5,1.0,10,0.5236,0.5416,0.5236,0.4772,242.21,0.78,a
True,0.001,50,0.5,1.5,5,0.6262,0.6389,0.6262,0.5970,242.32,0.42,a
True,0.001,50,0.5,1.5,10,0.5121,0.6954,0.5121,0.4389,242.16,0.42,a
True,0.001,50,1.0,0.5,5,0.6752,0.7047,0.6752,0.6412,242.33,6.95,a
True,0.001,50,1.0,0.5,10,0.6535,0.7058,0.6535,0.6026,244.58,6.95,a
True,0.001,50,1.0,1.0,5,0.6738,0.7038,0.6738,0.6350,241.57,0.78,a
True,0.001,50,1.0,1.0,10,0.6473,0.6731,0.6473,0.6074,241.51,0.78,a
True,0.001,50,1.0,1.5,5,0.6876,0.7032,0.6876,0.6800,241.40,0.42,a
True,0.001,50,1.0,1.5,10,0.6428,0.6536,0.6428,0.6173,241.71,0.42,a
True,0.001,50,1.5,0.5,5,0.7387,0.7355,0.7387,0.7244,241.89,6.95,a
True,0.001,50,1.5,0.5,10,0.7324,0.7398,0.7324,0.7144,241.51,6.95,a
True,0.001,50,1.5,1.0,5,0.7715,0.7785,0.7715,0.7571,242.15,0.78,a
True,0.001,50,1.5,1.0,10,0.6668,0.6701,0.6668,0.6403,241.88,0.78,a
