DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.001,50,0.5,1.5,5,0.6253,0.6444,0.6253,0.5648,441.92,0.42,a
True,0.001,50,0.5,1.5,10,0.4712,0.5939,0.4712,0.4071,440.36,0.42,a
True,0.001,50,1.0,0.5,5,0.6706,0.6930,0.6706,0.6539,440.13,6.95,a
True,0.001,50,1.0,0.5,10,0.6881,0.7145,0.6881,0.6630,441.28,6.95,a
True,0.001,50,1.0,1.0,5,0.7029,0.7048,0.7029,0.6847,440.73,0.78,a
True,0.001,50,1.0,1.0,10,0.6138,0.6462,0.6138,0.5879,441.82,0.78,a
True,0.001,50,1.0,1.5,5,0.6802,0.6966,0.6802,0.6620,441.28,0.42,a
True,0.001,50,1.0,1.5,10,0.6933,0.7084,0.6933,0.6703,443.71,0.42,a
True,0.001,50,1.5,0.5,5,0.7038,0.7005,0.7038,0.6875,442.13,6.95,a
True,0.001,50,1.5,0.5,10,0.7322,0.7386,0.7322,0.7171,441.77,6.95,a
True,0.001,50,1.5,1.0,5,0.7651,0.7621,0.7651,0.7557,439.14,0.78,a
True,0.001,50,1.5,1.0,10,0.7132,0.7335,0.7132,0.6823,440.01,0.78,a
True,0.001,50,1.5,1.5,5,0.7383,0.7497,0.7383,0.7233,439.18,0.42,a
True,0.001,50,1.5,1.5,10,0.7390,0.7529,0.7390,0.7217,440.10,0.42,a
False,0.001,100,N/A,N/A,N/A,0.9440,0.9441,0.9440,0.9440,167.72,Sem privacidade diferencial,a
True,0.001,100,0.5,0.5,5,0.3609,0.4736,0.3609,0.2803,351.49,9.62,a
True,0.001,100,0.5,0.5,10,0.3146,0.3236,0.3146,0.2639,351.12,9.62,a
True,0.001,100,0.5,1.0,5,0.3259,0.4836,0.3259,0.2698,351.50,1.15,a
True,0.001,100,0.5,1.0,10,0.4120,0.3099,0.4120,0.2820,351.54,1.15,a
True,0.001,100,0.5,1.5,5,0.2161,0.3101,0.2161,0.1440,351.37,0.61,a
True,0.001,100,0.5,1.5,10,0.3293,0.3081,0.3293,0.2616,350.88,0.61,a
True,0.001,100,1.0,0.5,5,0.4454,0.5466,0.4454,0.3542,352.18,9.62,a
True,0.001,100,1.0,0.5,10,0.5310,0.5490,0.5310,0.4702,350.79,9.62,a
True,0.001,100,1.0,1.0,5,0.4862,0.6178,0.4862,0.4336,352.16,1.15,a
True,0.001,100,1.0,1.0,10,0.5041,0.6178,0.5041,0.4546,352.10,1.15,a
True,0.001,100,1.0,1.5,5,0.6567,0.6644,0.6567,0.6284,351.21,0.61,a
True,0.001,100,1.0,1.5,10,0.5747,0.6847,0.5747,0.5184,351.76,0.61,a
True,0.001,100,1.5,0.5,5,0.5566,0.6307,0.5566,0.5291,350.11,9.62,a
True,0.001,100,1.5,0.5,10,0.5788,0.6003,0.5788,0.5441,350.65,9.62,a
True,0.001,100,1.5,1.0,5,0.6296,0.6528,0.6296,0.5941,351.31,1.15,a
True,0.001,100,1.5,1.0,10,0.6195,0.6332,0.6195,0.5609,350.46,1.15,a
True,0.001,100,1.5,1.5,5,0.5432,0.5611,0.5432,0.5065,350.78,0.61,a
True,0.001,100,1.5,1.5,10,0.6294,0.6999,0.6294,0.5715,352.01,0.61,a
False,0.01,25,N/A,N/A,N/A,0.9949,0.9949,0.9949,0.9949,1383.91,Sem privacidade diferencial,b
True,0.01,25,0.5,0.5,5,0.9584,0.9585,0.9584,0.9583,3892.99,5.06,b
True,0.01,25,0.5,1.0,5,0.9390,0.9395,0.9390,0.9388,3897.86,0.53,b
True,0.01,25,0.5,1.5,5,0.9030,0.9030,0.9030,0.9017,3820.66,0.29,b
True,0.01,25,1.0,0.5,5,0.9617,0.9618,0.9617,0.9617,3836.44,5.06,b
True,0.01,25,1.0,1.0,5,0.9308,0.9310,0.9308,0.9306,3844.97,0.53,b
True,0.01,25,1.0,1.5,5,0.9209,0.9211,0.9209,0.9205,3832.28,0.29,b
True,0.01,25,1.5,0.5,5,0.9617,0.9618,0.9617,0.9617,3833.01,5.06,b
True,0.01,25,1.5,1.0,5,0.9282,0.9288,0.9282,0.9278,3826.30,0.53,b
True,0.01,25,1.5,1.5,5,0.9072,0.9076,0.9072,0.9066,3834.46,0.29,b
False,0.01,50,N/A,N/A,N/A,0.9955,0.9955,0.9955,0.9955,1258.58,Sem privacidade diferencial,b
True,0.01,50,0.5,0.5,5,0.9418,0.9422,0.9418,0.9416,3287.04,6.95,b
True,0.01,50,0.5,0.5,10,0.9381,0.9386,0.9381,0.9378,3287.33,6.95,b
True,0.01,50,0.5,1.0,5,0.9390,0.9399,0.9390,0.9387,3301.00,0.78,b
True,0.01,50,0.5,1.0,10,0.9319,0.9327,0.9319,0.9314,3295.17,0.78,b
True,0.01,50,0.5,1.5,5,0.9103,0.9129,0.9103,0.9093,3286.13,0.42,b
True,0.01,50,0.5,1.5,10,0.9346,0.9356,0.9346,0.9342,3292.64,0.42,b
True,0.01,50,1.0,0.5,5,0.9630,0.9631,0.9630,0.9630,3290.39,6.95,b
True,0.01,50,1.0,0.5,10,0.9647,0.9647,0.9647,0.9647,3291.90,6.95,b
True,0.01,50,1.0,1.0,5,0.9506,0.9507,0.9506,0.9506,3289.37,0.78,b
True,0.01,50,1.0,1.0,10,0.9541,0.9542,0.9541,0.9541,3295.92,0.78,b
True,0.01,50,1.0,1.5,5,0.9273,0.9275,0.9273,0.9271,3294.21,0.42,b
True,0.01,50,1.0,1.5,10,0.9358,0.9364,0.9358,0.9357,3290.59,0.42,b
True,0.01,50,1.5,0.5,5,0.9643,0.9644,0.9643,0.9643,3522.80,6.95,b
True,0.01,50,1.5,0.5,10,0.9675,0.9675,0.9675,0.9675,3820.08,6.95,b
True,0.01,50,1.5,1.0,5,0.9482,0.9485,0.9482,0.9481,3724.59,0.78,b
True,0.01,50,1.5,1.0,10,0.9510,0.9510,0.9510,0.9509,3299.58,0.78,b
True,0.01,50,1.5,1.5,5,0.9295,0.9299,0.9295,0.9292,3300.69,0.42,b
True,0.01,50,1.5,1.5,10,0.9261,0.9266,0.9261,0.9256,3303.60,0.42,b
False,0.01,100,N/A,N/A,N/A,0.9951,0.9951,0.9951,0.9951,1218.37,Sem privacidade diferencial,b
True,0.01,100,0.5,0.5,5,0.8960,0.8999,0.8960,0.8938,3245.47,9.62,b
True,0.01,100,0.5,0.5,10,0.8890,0.8962,0.8890,0.8859,3099.87,9.62,b
True,0.01,100,0.5,1.0,5,0.8614,0.8714,0.8614,0.8555,3171.57,1.15,b
True,0.01,100,0.5,1.0,10,0.8655,0.8768,0.8655,0.8611,3259.65,1.15,b
True,0.01,100,0.5,1.5,5,0.8790,0.8869,0.8790,0.8762,3191.64,0.61,b
True,0.01,100,0.5,1.5,10,0.8627,0.8695,0.8627,0.8582,3074.28,0.61,b
True,0.01,100,1.0,0.5,5,0.9555,0.9556,0.9555,0.9555,3076.77,9.62,b
True,0.01,100,1.0,0.5,10,0.9551,0.9552,0.9551,0.9551,3074.90,9.62,b
True,0.01,100,1.0,1.0,5,0.9442,0.9446,0.9442,0.9440,3166.92,1.15,b
True,0.01,100,1.0,1.0,10,0.9350,0.9353,0.9350,0.9348,3239.93,1.15,b
True,0.01,100,1.0,1.5,5,0.9312,0.9319,0.9312,0.9311,3078.26,0.61,b
True,0.01,100,1.0,1.5,10,0.9374,0.9377,0.9374,0.9371,3079.79,0.61,b
True,0.01,100,1.5,0.5,5,0.9626,0.9627,0.9626,0.9626,3082.96,9.62,b
True,0.01,100,1.5,0.5,10,0.9627,0.9627,0.9627,0.9627,3079.18,9.62,b
True,0.01,100,1.5,1.0,5,0.9587,0.9588,0.9587,0.9586,3072.54,1.15,b
True,0.01,100,1.5,1.0,10,0.9571,0.9573,0.9571,0.9570,3088.30,1.15,b
True,0.01,100,1.5,1.5,5,0.9512,0.9515,0.9512,0.9511,3076.92,0.61,b
True,0.01,100,1.5,1.5,10,0.9462,0.9463,0.9462,0.9462,3092.14,0.61,b
False,0.005,25,N/A,N/A,N/A,0.9937,0.9937,0.9937,0.9937,1383.68,Sem privacidade diferencial,b
True,0.005,25,0.5,0.5,5,0.9437,0.9439,0.9437,0.9436,3861.04,5.06,b
True,0.005,25,0.5,1.0,5,0.9140,0.9156,0.9140,0.9127,4283.54,0.53,b
True,0.005,25,0.5,1.5,5,0.8786,0.8849,0.8786,0.8752,4554.61,0.29,b
True,0.005,25,1.0,0.5,5,0.9582,0.9583,0.9582,0.9582,4435.43,5.06,b
True,0.005,25,1.0,1.0,5,0.9369,0.9378,0.9369,0.9368,4134.52,0.53,b
True,0.005,25,1.0,1.5,5,0.8979,0.8983,0.8979,0.8965,3829.70,0.29,b
True,0.005,25,1.5,0.5,5,0.9597,0.9597,0.9597,0.9597,3827.41,5.06,b
True,0.005,25,1.5,1.0,5,0.9293,0.9301,0.9293,0.9287,3848.05,0.53,b
True,0.005,25,1.5,1.5,5,0.9000,0.9027,0.9000,0.8990,3834.97,0.29,b
False,0.005,50,N/A,N/A,N/A,0.9941,0.9941,0.9941,0.9941,1250.80,Sem privacidade diferencial,b
True,0.005,50,0.5,0.5,5,0.8986,0.9043,0.8986,0.8967,3318.84,6.95,b
True,0.005,50,0.5,0.5,10,0.8773,0.8831,0.8773,0.8744,3303.16,6.95,b
True,0.005,50,0.5,1.0,5,0.8548,0.8683,0.8548,0.8492,3305.21,0.78,b
True,0.005,50,0.5,1.0,10,0.8685,0.8754,0.8685,0.8638,3305.94,0.78,b
True,0.005,50,0.5,1.5,5,0.8555,0.8682,0.8555,0.8502,3305.43,0.42,b
True,0.005,50,0.5,1.5,10,0.8595,0.8727,0.8595,0.8546,3304.16,0.42,b
True,0.005,50,1.0,0.5,5,0.9429,0.9432,0.9429,0.9428,3306.87,6.95,b
True,0.005,50,1.0,0.5,10,0.9401,0.9405,0.9401,0.9398,3318.29,6.95,b
True,0.005,50,1.0,1.0,5,0.9221,0.9225,0.9221,0.9217,3309.75,0.78,b
True,0.005,50,1.0,1.0,10,0.9334,0.9338,0.9334,0.9332,3311.93,0.78,b
True,0.005,50,1.0,1.5,5,0.9218,0.9234,0.9218,0.9207,3308.98,0.42,b
True,0.005,50,1.0,1.5,10,0.9154,0.9173,0.9154,0.9145,3302.93,0.42,b
True,0.005,50,1.5,0.5,5,0.9589,0.9590,0.9589,0.9588,3322.34,6.95,b
True,0.005,50,1.5,0.5,10,0.9582,0.9583,0.9582,0.9581,3304.01,6.95,b
True,0.005,50,1.5,1.0,5,0.9408,0.9412,0.9408,0.9406,3307.33,0.78,b
True,0.005,50,1.5,1.0,10,0.9475,0.9476,0.9475,0.9474,3305.12,0.78,b
True,0.005,50,1.5,1.5,5,0.9270,0.9279,0.9270,0.9267,3303.38,0.42,b
True,0.005,50,1.5,1.5,10,0.9348,0.9354,0.9348,0.9345,3738.88,0.42,b
False,0.005,100,N/A,N/A,N/A,0.9945,0.9945,0.9945,0.9945,1210.24,Sem privacidade diferencial,b
True,0.005,100,0.5,0.5,5,0.7618,0.7889,0.7618,0.7403,3088.79,9.62,b
True,0.005,100,0.5,0.5,10,0.7845,0.8123,0.7845,0.7594,3097.11,9.62,b
True,0.005,100,0.5,1.0,5,0.7469,0.7769,0.7469,0.7146,3088.82,1.15,b
True,0.005,100,0.5,1.0,10,0.7694,0.7894,0.7694,0.7501,3094.13,1.15,b
True,0.005,100,0.5,1.5,5,0.8297,0.8423,0.8297,0.8227,3091.81,0.61,b
True,0.005,100,0.5,1.5,10,0.7613,0.7967,0.7613,0.7434,3086.47,0.61,b
True,0.005,100,1.0,0.5,5,0.8880,0.8941,0.8880,0.8854,3098.97,9.62,b
True,0.005,100,1.0,0.5,10,0.8865,0.8917,0.8865,0.8839,3101.90,9.62,b
True,0.005,100,1.0,1.0,5,0.8719,0.8793,0.8719,0.8684,3091.34,1.15,b
True,0.005,100,1.0,1.0,10,0.8853,0.8930,0.8853,0.8813,3086.30,1.15,b
True,0.005,100,1.0,1.5,5,0.8765,0.8843,0.8765,0.8731,3087.74,0.61,b
True,0.005,100,1.0,1.5,10,0.8800,0.8863,0.8800,0.8779,3089.63,0.61,b
True,0.005,100,1.5,0.5,5,0.9419,0.9421,0.9419,0.9417,3092.25,9.62,b
True,0.005,100,1.5,0.5,10,0.9263,0.9270,0.9263,0.9258,3088.05,9.62,b
True,0.005,100,1.5,1.0,5,0.9287,0.9299,0.9287,0.9283,3085.16,1.15,b
True,0.005,100,1.5,1.0,10,0.9261,0.9268,0.9261,0.9257,3085.30,1.15,b
