DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
FALSE,"0,005",50,1,"1,5",None,"0,9893","0,9894","0,9893","0,9893","144,7",Epsilon = 8.181,A
TRUE,"0,005",50,1,"1,5",5,"0,4935","0,5777","0,4935","0,493","316,38",Sem DP,A
TRUE,"0,005",50,1,"1,5",10,"0,545","0,6132","0,545","0,5106","493,73",Epsilon = 1.932,A
FALSE,"0,005",50,"1,5","0,5",None,"0,9902","0,9902","0,9902","0,9902","143,47",Epsilon = 1.932,A
TRUE,"0,005",50,"1,5","0,5",5,"0,4402","0,5707","0,4402","0,3855","314,66",Sem DP,A
TRUE,"0,005",50,"1,5","0,5",10,"0,5058","0,6653","0,5058","0,4383","490,48",Epsilon = 167.930,A
FALSE,"0,005",50,"1,5",1,None,"0,9885","0,9885","0,9885","0,9885","142,08",Epsilon = 167.930,A
TRUE,"0,005",50,"1,5",1,5,"0,4847","0,5386","0,4847","0,4777","314,34",Sem DP,A
TRUE,"0,005",50,"1,5",1,10,"0,5069","0,5072","0,5069","0,439","487,58",Epsilon = 8.181,A
FALSE,"0,005",50,"1,5","1,5",None,"0,9868","0,9869","0,9868","0,9868","141,58",Epsilon = 8.181,A
TRUE,"0,005",50,"1,5","1,5",5,"0,4038","0,4466","0,4038","0,3931","313,82",Sem DP,A
TRUE,"0,005",50,"1,5","1,5",10,"0,3076","0,4239","0,3076","0,2684","489,31",Epsilon = 1.932,A
FALSE,"0,005",100,"0,5","0,5",None,"0,9882","0,9882","0,9882","0,9882","141,75",Epsilon = 1.932,A
TRUE,"0,005",100,"0,5","0,5",5,"0,9399","0,9401","0,9399","0,9398","267,47",Sem DP,A
TRUE,"0,005",100,"0,5","0,5",10,"0,935","0,9351","0,935","0,935","442,74",Epsilon = 197.798,A
FALSE,"0,005",100,"0,5",1,None,"0,9897","0,9897","0,9897","0,9897","141,64",Epsilon = 197.798,A
TRUE,"0,005",100,"0,5",1,5,"0,9185","0,9189","0,9185","0,9184","265,27",Sem DP,A
TRUE,"0,005",100,"0,5",1,10,"0,9197","0,9199","0,9197","0,9197","443,58",Epsilon = 11.105,A
FALSE,"0,005",100,"0,5","1,5",None,"0,9897","0,9897","0,9897","0,9897","141,96",Epsilon = 11.105,A
TRUE,"0,005",100,"0,5","1,5",5,"0,8784","0,8791","0,8784","0,8784","264,61",Sem DP,A
TRUE,"0,005",100,"0,5","1,5",10,"0,9173","0,9171","0,9173","0,9171","444,77",Epsilon = 2.618,A
FALSE,"0,005",100,1,"0,5",None,"0,9898","0,9898","0,9898","0,9898","145,65",Epsilon = 2.618,A
TRUE,"0,005",100,1,"0,5",5,"0,9473","0,9479","0,9473","0,9473","266,93",Sem DP,A
TRUE,"0,005",100,1,"0,5",10,"0,9295","0,9298","0,9295","0,9294","445,51",Epsilon = 197.798,A
FALSE,"0,005",100,1,1,None,"0,9893","0,9893","0,9893","0,9893","144,49",Epsilon = 197.798,A
TRUE,"0,005",100,1,1,5,"0,8604","0,8615","0,8604","0,8594","266,07",Sem DP,A
TRUE,"0,005",100,1,1,10,"0,9128","0,9138","0,9128","0,9127","445,08",Epsilon = 11.105,A
FALSE,"0,005",100,1,"1,5",None,"0,987","0,9871","0,987","0,987","143,08",Epsilon = 11.105,A
TRUE,"0,005",100,1,"1,5",5,"0,8026","0,8052","0,8026","0,8005","265,6",Sem DP,A
TRUE,"0,005",100,1,"1,5",10,"0,8738","0,8752","0,8738","0,8738","443,12",Epsilon = 2.618,A
FALSE,"0,005",100,"1,5","0,5",None,"0,9885","0,9885","0,9885","0,9885","143,06",Epsilon = 2.618,A
